"Composed name","River basin","Identifier","Names","genus","subfamily","family","suborder","order","subclass","class","subphylum","phylum","kingdom","superkingdom","Cluster"
"LGC_JQ1610 Gymnotus carapo","JQ","1610","Gymnotus carapo","Gymnotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"LGC_JQ1631 Gymnotus carapo","JQ","1631","Gymnotus carapo","Gymnotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"LGC_JQ1711 Hypostomus sp","JQ","1711","Hypostomus sp","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_JQ1762 Megaleporinus elongatus","JQ","1762","Megaleporinus elongatus","Megaleporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_JQ1765 Prochilodus hartii","JQ","1765","Prochilodus hartii","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_JQ1761 Megaleporinus elongatus","JQ","1761","Megaleporinus elongatus","Megaleporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_JQ1772 Hoplias brasiliensis","JQ","1772","Hoplias brasiliensis","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"LGC_JQ1936 Delturus brevis","JQ","1936","Delturus brevis","Delturus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94
"LGC_JQ231 Steindachnerina elegans","JQ","231","Steindachnerina elegans","Steindachnerina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"LGC_JQ2643 Hoplosternum littorale","JQ","2643","Hoplosternum littorale","Hoplosternum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"LGC_JQ2860 Prochilodus costatus","JQ","2860","Prochilodus costatus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_JQ2871 Colossoma macropomum","JQ","2871","Colossoma macropomum","Colossoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
"LGC_JQ2912 Anchoviella lepidentostole","JQ","2912","Anchoviella lepidentostole","Anchoviella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"LGC_JQ7906 Wertheimeria maculata","JQ","7906","Wertheimeria maculata","Wertheimeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
"LGC_JQ7893 Hypostomus nigrolineatus","JQ","7893","Hypostomus nigrolineatus","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_JQ2918 Lycengraulis grossidens","JQ","2918","Lycengraulis grossidens","Lycengraulis","Engraulinae","Engraulidae","Clupeoidei","Clupeiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",25
"LGC_JQ7890 Serrasalmus brandtii","JQ","7890","Serrasalmus brandtii","Serrasalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LGC_JQ292 Cichlasoma facetum","JQ","292","Cichlasoma facetum","Cichlasoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"LGC_JQ2932 Cichla kelberi","JQ","2932","Cichla kelberi","Cichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"LGC_JQ2943 Eugerres brasilianus","JQ","2943","Eugerres brasilianus","Eugerres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"LGC_JQ2984 Hypomasticus steindachneri","JQ","2984","Hypomasticus steindachneri","Hypomasticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
"LGC_JQ2996 Steindachneridion amblyurum","JQ","2996","Steindachneridion amblyurum","Steindachneridion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
"LGC_JQ0303 Geophagus brasiliensis","JQ","0303","Geophagus brasiliensis","Geophagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"LGC_JQ0304 Geophagus brasiliensis","JQ","0304","Geophagus brasiliensis","Geophagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"LGC_JQ3054 Rhamdia cf jequitinhonha","JQ","3054","Rhamdia cf jequitinhonha","Rhamdia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
"LGC_JQ4196 Pareiorhaphis stephanus","JQ","4196","Pareiorhaphis stephanus","Pareiorhaphis","Neoplecostominae","Loricariidae","Loricarioidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",105
"LGC_JQ4290 Megaleporinus garmani","JQ","4290","Megaleporinus garmani","Megaleporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
"LGC_JQ5612 Prochilodus argenteus","JQ","5612","Prochilodus argenteus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_JQ5645 Rhamdia aff quelen","JQ","5645","Rhamdia aff quelen","Rhamdia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
"LGC_JQ5650 Hypostomus sp","JQ","5650","Hypostomus sp","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_JQ5664 Hypomasticus steindachneri","JQ","5664","Hypomasticus steindachneri","Hypomasticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
"LGC_JQ5672 Astyanax cf lacustris","JQ","5672","Astyanax cf lacustris","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"LGC_JQ5675 Trachelyopterus cf galeatus","JQ","5675","Trachelyopterus cf galeatus","Trachelyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
"LGC_JQ5693 Astyanax aff fasciatus","JQ","5693","Astyanax aff fasciatus","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_JQ5694 Astyanax aff fasciatus","JQ","5694","Astyanax aff fasciatus","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_JQ5695 Astyanax aff fasciatus","JQ","5695","Astyanax aff fasciatus","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"LGC_JQ5703 Hypostomus sp","JQ","5703","Hypostomus sp","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
"LGC_JQ5704 Hypostomus sp","JQ","5704","Hypostomus sp","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
"LGC_JQ6261 Serrasalmus brandtii","JQ","6261","Serrasalmus brandtii","Serrasalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LGC_JQ6583 Trachelyopterus striatulus","JQ","6583","Trachelyopterus striatulus","Trachelyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
"LGC_JQ6584 Australoheros sp","JQ","6584","Australoheros sp","Australoheros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"LGC_JQ6586 Steindachnerina elegans","JQ","6586","Steindachnerina elegans","Steindachnerina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"LGC_JQ6590 Cichla sp","JQ","6590","Cichla sp","Cichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"LGC_JQ6630 Hoplias sp","JQ","6630","Hoplias sp","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"LGC_JQ6633 Megaleporinus elongatus","JQ","6633","Megaleporinus elongatus","Megaleporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_JQ7033 Prochilodus hartii","JQ","7033","Prochilodus hartii","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_JQ7690 Oligosarcus macrolepis","JQ","7690","Oligosarcus macrolepis","Oligosarcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_JQ7812 Moenkhausia costae","JQ","7812","Moenkhausia costae","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"LGC_JQ7817 Wertheimeria maculata","JQ","7817","Wertheimeria maculata","Wertheimeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
"LGC_JQ7822 Hoplias malabaricus","JQ","7822","Hoplias malabaricus","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"LGC_JQ7826 Hypomasticus steindachneri","JQ","7826","Hypomasticus steindachneri","Hypomasticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
"LGC_JQ7880 Astyanax lacustris","JQ","7880","Astyanax lacustris","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"LGC_DC3015 Pimelodella sp.","DC","3015","Pimelodella sp.","Pimelodella","subfamily of Heptapteridae","Heptapteridae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",113
"LGC_DC3016 Pimelodella sp.","DC","3016","Pimelodella sp.","Pimelodella","subfamily of Heptapteridae","Heptapteridae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",113
"LGC_DC3528 Prochilodus costatus","DC","3528","Prochilodus costatus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_DC3547 Oligosarcus argenteus","DC","3547","Oligosarcus argenteus","Oligosarcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_DC4690 Astyanax lacustris","DC","4690","Astyanax lacustris","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"LGC_DC4713 Pseudauchenipterus affinis","DC","4713","Pseudauchenipterus affinis","Pseudauchenipterus","Auchenipterinae","Auchenipteridae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",129
"LGC_DC5727 Trichomycterus alternatus","DC","5727","Trichomycterus alternatus","Trichomycterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
"LGC_DC5732 Trichomycterus cf. brasiliensis","DC","5732","Trichomycterus cf. brasiliensis","Trichomycterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
"LGC_DC7206 Salminus brasiliensis","DC","7206","Salminus brasiliensis","Salminus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"LGC_DC7357 Hypostomus affinis","DC","7357","Hypostomus affinis","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_DC7437 Hoplias gr. malabaricus","DC","7437","Hoplias gr. malabaricus","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"LGC_DC7572 Prochilodus vimboides","DC","7572","Prochilodus vimboides","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_DC5745 Trichomycterus immaculatus","DC","5745","Trichomycterus immaculatus","Trichomycterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
"LGC_DC7526 Hypomasticus copelandii","DC","7526","Hypomasticus copelandii","Hypomasticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
"LGC_DC7529 Hypomasticus copelandii","DC","7529","Hypomasticus copelandii","Hypomasticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
"LGC_DC4964 Hypomasticus mormyrops","DC","4964","Hypomasticus mormyrops","Hypomasticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
"LGC_DC4965 Hypomasticus mormyrops","DC","4965","Hypomasticus mormyrops","Hypomasticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
"LGC_DC776EC Megaleporinus macrocephalus","DC","776EC","Megaleporinus macrocephalus","Megaleporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
"LGC_DC4507 Glanidium botocudo","DC","4507","Glanidium botocudo","Glanidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
"LGC_DC3595 Pseudauchenipterus affinis","DC","3595","Pseudauchenipterus affinis","Pseudauchenipterus","Auchenipterinae","Auchenipteridae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",129
"LGC_DC1161EC Trachelyopterus striatulus","DC","1161EC","Trachelyopterus striatulus","Trachelyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
"LGC_DC1162EC Trachelyopterus striatulus","DC","1162EC","Trachelyopterus striatulus","Trachelyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
"LGC_DC3593 Trachelyopterus striatulus","DC","3593","Trachelyopterus striatulus","Trachelyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
"LGC_DC4637 Brycon dulcis","DC","4637","Brycon dulcis","Brycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"LGC_DC7368 Hoplosternum littorale","DC","7368","Hoplosternum littorale","Hoplosternum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"LGC_DC7605 Hoplosternum littorale","DC","7605","Hoplosternum littorale","Hoplosternum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"LGC_DC7190 Cichla cf. kelberi","DC","7190","Cichla cf. kelberi","Cichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"LGC_DC4979 Crenicichla (Lacustria) lacustris","DC","4979","Crenicichla (Lacustria) lacustris","Crenicichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"LGC_DC3710 Pareiorhaphis sp.","DC","3710","Pareiorhaphis sp.","Pareiorhaphis","Neoplecostominae","Loricariidae","Loricarioidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",104
"LGC_DC8091 Knodus moenkhausi","DC","8091","Knodus moenkhausi","Knodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"LGC_DC8095 Phalloceros uai","DC","8095","Phalloceros uai","Phalloceros","Poeciliinae","Poeciliidae","Cyprinodontoidei","Cyprinodontiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",19
"LGC_DC621EC Delturus carinotus","DC","621EC","Delturus carinotus","Delturus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
"LGC_DC633EC Aequidens sp.","DC","633EC","Aequidens sp.","Aequidens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"LGC_DC975EC Harttia loricariformis","DC","975EC","Harttia loricariformis","Harttia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
"LGC_DC976EC Harttia loricariformis","DC","976EC","Harttia loricariformis","Harttia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
"LGC_DC1383EC Psalidodon aff. fasciatus","DC","1383EC","Psalidodon aff. fasciatus","Psalidodon","Stethaprioninae","Characidae","Characoidei","Characiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",57
"LGC_DC1384EC Deuterodon cf. taeniatus","DC","1384EC","Deuterodon cf. taeniatus","Deuterodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
"LGC_DC3699 Neoplecostomus doceensis","DC","3699","Neoplecostomus doceensis","Neoplecostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
"LGC_DC5733 Neoplecostomus doceensis","DC","5733","Neoplecostomus doceensis","Neoplecostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
"LGC_DC3564 Salminus brasiliensis","DC","3564","Salminus brasiliensis","Salminus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"LGC_DC4927 Geophagus brasiliensis","DC","4927","Geophagus brasiliensis","Geophagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"LGC_DC4931 Harttia loricariformis","DC","4931","Harttia loricariformis","Harttia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
"LGC_DC7149 Oligosarcus acutirostris","DC","7149","Oligosarcus acutirostris","Oligosarcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"LGC_DC7612 Pygocentrus nattereri","DC","7612","Pygocentrus nattereri","Pygocentrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LGC_DC3017 Euryochus thysanos","DC","3017","Euryochus thysanos","Euryochus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
"LGC_DC3018 Euryochus thysanos","DC","3018","Euryochus thysanos","Euryochus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
"LGC_DC3691 Rhamdia aff. quelen","DC","3691","Rhamdia aff. quelen","Rhamdia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
"LGC_DC3705 Trichomycterus alternatus","DC","3705","Trichomycterus alternatus","Trichomycterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
"LGC_DC5570 Geophagus brasiliensis","DC","5570","Geophagus brasiliensis","Geophagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"LGC_DC5743 Pareiorhaphis sp.","DC","5743","Pareiorhaphis sp.","Pareiorhaphis","Neoplecostominae","Loricariidae","Loricarioidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",104
"LGC_DC8084 Deuterodon taeniatus","DC","8084","Deuterodon taeniatus","Deuterodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
"LGC_DC4656 Pygocentrus nattereri","DC","4656","Pygocentrus nattereri","Pygocentrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LGC_DC4553 Hoplias gr. malabaricus","DC","4553","Hoplias gr. malabaricus","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"LGC_DC3540 Cichla cf. kelberi","DC","3540","Cichla cf. kelberi","Cichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"LGC_DC7573 Prochilodus vimboides","DC","7573","Prochilodus vimboides","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_DC2673 Clarias gariepinnus","DC","2673","Clarias gariepinnus","Clarias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
"LGC_DC7524 Lophiosilurus alexandri","DC","7524","Lophiosilurus alexandri","Lophiosilurus","subfamily of Pseudopimelodidae","Pseudopimelodidae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",122
"LGC_DC8085 Deuterodon taeniatus","DC","8085","Deuterodon taeniatus","Deuterodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
"LGC_DC4149 Phalloceros elachistos","DC","4149","Phalloceros elachistos","Phalloceros","Poeciliinae","Poeciliidae","Cyprinodontoidei","Cyprinodontiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",18
"LGC_DC7312 Pimelodus maculatus","DC","7312","Pimelodus maculatus","Pimelodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"LGC_DC8036 Poecilia vivipara","DC","8036","Poecilia vivipara","Poecilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"LGC_DC8052 Pareiorhaphis vetula","DC","8052","Pareiorhaphis vetula","Pareiorhaphis","Neoplecostominae","Loricariidae","Loricarioidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",104
"LGC_DC8026 Imparfinis sp.","DC","8026","Imparfinis sp.","Imparfinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
"LGC_DC7970 Characidium cricarense","DC","7970","Characidium cricarense","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"LGC_DC4489 Gymnotus aff. carapo","DC","4489","Gymnotus aff. carapo","Gymnotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_DC8029 Characidium cricarense","DC","8029","Characidium cricarense","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"LGC_DC8097 Poecilia reticulata","DC","8097","Poecilia reticulata","Poecilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"LGC_DC4701 Pogonopoma wertheimeri","DC","4701","Pogonopoma wertheimeri","Pogonopoma","Rhinelepinae","Loricariidae","Loricarioidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",97
"LGC_DC8028 Serrapinnus heterodon","DC","8028","Serrapinnus heterodon","Serrapinnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_DC1839 Moenkhausia vittata","DC","1839","Moenkhausia vittata","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"LGC_DC1645 Hypostomus cf. luetkeni","DC","1645","Hypostomus cf. luetkeni","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
